"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1832918102989738458","Sun Sep 08 23:11:39 +0000 2024","0","@convomf pagii orientasi sebelum mulai studi independen","1832919761870872998","","convomf","in","room 11","0","0","0","https://x.com/tulisananin/status/1832919761870872998","1828282917665284096","tulisananin"
"1832806644302156092","Sun Sep 08 15:42:10 +0000 2024","0","Selamat dan Sukses Atas Selesainya Program MBKM Magang dan Studi Independen Bersertifikat (MSIB) Studi Independen Semoga dengan ini banyak mahasiswa yang termotivasi dan ingin ikut berpartisipasi dalam Program MBKM untuk periode selanjutnya #tekniksipilumm #ftumm #umm https://t.co/nZ3VvYv1yk","1832806644302156092","https://pbs.twimg.com/media/GW9v0AwakAANjbJ.jpg","","in","","0","0","0","https://x.com/sipilumm/status/1832806644302156092","1675882074774044672","sipilumm"
"1832764261837210080","Sun Sep 08 12:53:45 +0000 2024","0","mulai besok studi independen aku cuma mau ngomong SINI LO BANGKIT MACHINE LEARNING AKU GAK TAKUT AKU PUNYA ALLAH ","1832764261837210080","","","in","","0","0","0","https://x.com/kamugakjelasyah/status/1832764261837210080","1207284962887491584","kamugakjelasyah"
"1832752883634479152","Sun Sep 08 12:08:33 +0000 2024","2","Program Magang dan Studi Independen Bersertifikat (MSIB) merupakan program persiapan karier bagi mahasiswa untuk belajar di dunia industri dengan jaminan konversi SKS Seperti apa ya kisah keseruan mahasiswa FEB UI yang mengikuti program MSIB? Yuk simak! https://t.co/EEL0hniN9o","1832752883634479152","https://pbs.twimg.com/media/GW8_B7zbEAEvT65.jpg","","in","Faculty of Economics and Busin","0","1","0","https://x.com/HumasFEBUI/status/1832752883634479152","122000678","HumasFEBUI"
"1832631590788415544","Sun Sep 08 04:06:34 +0000 2024","0","yg kemarin pernah ikut studi independen msib batch kemarin selama periode berlangsung itu full online kan ya? atau masih ada keperluan gitu ke kampus buat ngurus sesuatu?","1832631590788415544","","","in","paris, texas","0","0","0","https://x.com/carrravaggio/status/1832631590788415544","826321374775910401","carrravaggio"
"1832062741114405110","Sat Sep 07 14:55:36 +0000 2024","17"," Semester 5-6 coba mencari unpaid internship hingga paid internship di top perusahaan rekomendasi paid internship bisa mengikuti program MBKM yaitu MSIB (Magang &amp; Studi Independen Bersertifikat) karena dapat gaji 2.8 jt per bulan. MSIB hanya bisa diikuti max 2x/mahasiswa https://t.co/NxqP6lCRjJ","1832432537068826765","https://pbs.twimg.com/media/GW4brPebMAACGY8.jpg","fatepluffy","in","","0","1","1","https://x.com/fatepluffy/status/1832432537068826765","1450111829993082891","fatepluffy"
"1832028364707975176","Fri Sep 06 12:13:54 +0000 2024","0","@gnispilce aku stres melihat temenku yg post magang dan studi independen dari msibak blom dpt tempat magang","1832029454794994153","","momxilonen","in","21 ! ","0","0","0","https://x.com/archonemo/status/1832029454794994153","1430298749989834754","archonemo"
"1832026071266480424","Fri Sep 06 12:00:27 +0000 2024","1","Suasana kantor https://t.co/4GUctbGo3e hari ini berbeda dari biasanya sebanyak 20 Mahasiswa Magang dan Studi Independen Bersertifikat (MSIB) angkatan 7 dari Program Kampus Merdeka hadir untuk memulai petualangan baru mereka di dunia industri media Jumat 6 September 2024 https://t.co/0Gh1EKz0jl","1832026071266480424","https://pbs.twimg.com/media/GWyp--gWkAAy2Ue.jpg","","in","","0","0","0","https://x.com/VIVAcoid/status/1832026071266480424","41730943","VIVAcoid"
"1831278956538126751","Wed Sep 04 11:01:46 +0000 2024","0","@dunnoiamm dari zenius waktu ituu yg studi independen gt. waah okey thanks infonyaa meng","1831286528850776437","","dunnoiamm","in","my emotional chamber","0","1","0","https://x.com/drafthugs/status/1831286528850776437","1387025900659625989","drafthugs"
"1831181425275793777","Wed Sep 04 04:04:08 +0000 2024","0","Guys ada yang ambil msib di bitlabs &amp; udah masuk grupnya blm? tag: MSIB Batch 7 MSIB Bitlabs Studi independen","1831181425275793777","","","in","","0","2","0","https://x.com/maujadigamada/status/1831181425275793777","1161598632493113344","maujadigamada"
"1830620116884828416","Mon Sep 02 14:53:44 +0000 2024","1","Pada pertemuan ini pihak USK menyampaikan program magang mahasiswa yang akan di tempatkan di KIP Aceh dalam rentang waktu yang telah ditentukan hal ini guna memberikan kesempatan kepada mahasiswa mendapatkan pengalaman praktis di lapangan kerja sesuai dengan bidang studi.","1830620127164874842","","KIP_Aceh","in","Aceh, Indonesia","0","0","1","https://x.com/KIP_Aceh/status/1830620127164874842","2421735780","KIP_Aceh"
"1830531458965868848","Mon Sep 02 09:01:24 +0000 2024","1","msib batch 7 ada yang ambil studi independen (stupen) di bitlabs future tech talent?","1830531458965868848","","","in","Kota Yogyakarta, Yogyakarta","0","1","0","https://x.com/penalpukat/status/1830531458965868848","1193021818417774593","penalpukat"
"1830420851134758924","Mon Sep 02 01:41:53 +0000 2024","0","Open joki tugas laporan magang dan studi independen. Dikerjakan oleh alumni magang dan studi independen kampus merdeka langsung. Tanya-tanya dulu jg boleh bgt ya langsung WA di bio #jokijurnal #jokimakalah #jokitugas #ZonaBA #Zonajajan #zonauangᅠᅠᅠ","1830420851134758924","","","in","","0","0","0","https://x.com/matchachwann/status/1830420851134758924","1329075392670416898","matchachwann"
"1830398267856937412","Mon Sep 02 01:21:26 +0000 2024","0","@heyimanii itu lolos program msib kak (magang studi independen) program mbkm nya pemerintah","1830415704866320438","","heyimanii","in","unknown","0","0","0","https://x.com/br0wniscoqlatt/status/1830415704866320438","1097071850641809408","br0wniscoqlatt"
"1830212270502363182","Sun Sep 01 11:53:14 +0000 2024","1","Maretza Dwi Daniati (angkatan 2022) atas lolosnya pada program Magang dan Studi Independen Bersertifikat (MSIB) Batch 7 Merdeka Belajar Kampus Merdeka https://t.co/CwNLIkonrX","1830212317369475508","https://pbs.twimg.com/media/GWY4Z0aaQAAxcfV.jpg","untirtahimatika","in","Serang , Banten ","0","1","0","https://x.com/untirtahimatika/status/1830212317369475508","514373551","untirtahimatika"
"1830212270502363182","Sun Sep 01 11:53:10 +0000 2024","0","Septiana Permata Noor (angkatan 2022) atas lolosnya pada program Kampus Mengajar (KM) Akt. 8 Merdeka Belajar Kampus Merdeka Muhammad Septiandi (angkatan 2022) atas lolosnya pada program Magang dan Studi Independen Bersertifikat (MSIB) Batch 7 Merdeka Belajar Kampus Merdeka https://t.co/3xTn5YkkUt","1830212298293825931","https://pbs.twimg.com/media/GWY4Yf6b0AAorZ8.jpg","untirtahimatika","in","Serang , Banten ","0","1","0","https://x.com/untirtahimatika/status/1830212298293825931","514373551","untirtahimatika"
"1830204280974041327","Sun Sep 01 11:21:18 +0000 2024","1","krn kmrn aku lolos program studi independen MSIB batch 7 jadi semester 5 ini aku kuliahnya 90% online. soo ak akan kembali aktif menjadi mba open jasa lettering jasa tulis jasa mind mapping preloved make up/skincare/dsb. dan mungkin bakal nyoba open jasa desain??? hahaha","1830204280974041327","","","in","","1","1","0","https://x.com/yawzney/status/1830204280974041327","1356250926252613639","yawzney"
